experiment_id,stage,sequence_id,sequence,seed,final_t1_competence
D04_DIAGNOSTIC_ATTRIBUTION_INTERVENTIONAL,confirmation,seq1_T1_first,T1->T2->T3,1000,1.0911322183293002
D04_DIAGNOSTIC_ATTRIBUTION_INTERVENTIONAL,confirmation,seq1_T1_first,T1->T2->T3,1001,1.0982396035774007
D04_DIAGNOSTIC_ATTRIBUTION_INTERVENTIONAL,confirmation,seq1_T1_first,T1->T2->T3,1002,1.0982646677744943
D04_DIAGNOSTIC_ATTRIBUTION_INTERVENTIONAL,confirmation,seq1_T1_first,T1->T2->T3,1003,1.09795603280603
D04_DIAGNOSTIC_ATTRIBUTION_INTERVENTIONAL,confirmation,seq1_T1_first,T1->T2->T3,1004,1.096723368036055
D04_DIAGNOSTIC_ATTRIBUTION_INTERVENTIONAL,confirmation,seq1_T1_first,T1->T2->T3,1005,1.0980978637612022
D04_DIAGNOSTIC_ATTRIBUTION_INTERVENTIONAL,confirmation,seq1_T1_first,T1->T2->T3,1006,1.0982004705155408
D04_DIAGNOSTIC_ATTRIBUTION_INTERVENTIONAL,confirmation,seq1_T1_first,T1->T2->T3,1007,1.0969451157372017
D04_DIAGNOSTIC_ATTRIBUTION_INTERVENTIONAL,confirmation,seq1_T1_first,T1->T2->T3,1008,1.0779820657058914
D04_DIAGNOSTIC_ATTRIBUTION_INTERVENTIONAL,confirmation,seq1_T1_first,T1->T2->T3,1009,1.0977596311186943
D04_DIAGNOSTIC_ATTRIBUTION_INTERVENTIONAL,confirmation,seq1_T1_first,T1->T2->T3,1010,1.0921443629487448
D04_DIAGNOSTIC_ATTRIBUTION_INTERVENTIONAL,confirmation,seq1_T1_first,T1->T2->T3,1011,1.035486690758037
D04_DIAGNOSTIC_ATTRIBUTION_INTERVENTIONAL,confirmation,seq1_T1_first,T1->T2->T3,1012,1.0983020526730232
D04_DIAGNOSTIC_ATTRIBUTION_INTERVENTIONAL,confirmation,seq1_T1_first,T1->T2->T3,1013,1.098180137107301
