experiment_id,sequence_id,sequence,seed,final_t1_competence
D04_DIAGNOSTIC_ATTRIBUTION_INTERVENTIONAL,seq1_T1_first,T1->T2->T3,0,1.0313529906529588
D04_DIAGNOSTIC_ATTRIBUTION_INTERVENTIONAL,seq1_T1_first,T1->T2->T3,1,1.0981492427620592
D04_DIAGNOSTIC_ATTRIBUTION_INTERVENTIONAL,seq1_T1_first,T1->T2->T3,2,1.0979976799358466
D04_DIAGNOSTIC_ATTRIBUTION_INTERVENTIONAL,seq1_T1_first,T1->T2->T3,3,1.077257400585507
D04_DIAGNOSTIC_ATTRIBUTION_INTERVENTIONAL,seq1_T1_first,T1->T2->T3,4,1.0967941198950977
D04_DIAGNOSTIC_ATTRIBUTION_INTERVENTIONAL,seq1_T1_first,T1->T2->T3,5,1.0977195668918245
D04_DIAGNOSTIC_ATTRIBUTION_INTERVENTIONAL,seq1_T1_first,T1->T2->T3,6,1.0979961913634793
D04_DIAGNOSTIC_ATTRIBUTION_INTERVENTIONAL,seq1_T1_first,T1->T2->T3,7,1.0979663033131628
D04_DIAGNOSTIC_ATTRIBUTION_INTERVENTIONAL,seq1_T1_first,T1->T2->T3,8,1.0981927776572533
D04_DIAGNOSTIC_ATTRIBUTION_INTERVENTIONAL,seq1_T1_first,T1->T2->T3,9,1.0925151585994601
D04_DIAGNOSTIC_ATTRIBUTION_INTERVENTIONAL,seq2_T1_second,T2->T1->T3,0,1.0109784090322422
D04_DIAGNOSTIC_ATTRIBUTION_INTERVENTIONAL,seq2_T1_second,T2->T1->T3,1,1.0945440678885727
D04_DIAGNOSTIC_ATTRIBUTION_INTERVENTIONAL,seq2_T1_second,T2->T1->T3,2,1.0972198296707656
D04_DIAGNOSTIC_ATTRIBUTION_INTERVENTIONAL,seq2_T1_second,T2->T1->T3,3,1.0767221451911677
D04_DIAGNOSTIC_ATTRIBUTION_INTERVENTIONAL,seq2_T1_second,T2->T1->T3,4,1.0980207243338977
D04_DIAGNOSTIC_ATTRIBUTION_INTERVENTIONAL,seq2_T1_second,T2->T1->T3,5,1.0977382857566584
D04_DIAGNOSTIC_ATTRIBUTION_INTERVENTIONAL,seq2_T1_second,T2->T1->T3,6,1.0876110619088253
D04_DIAGNOSTIC_ATTRIBUTION_INTERVENTIONAL,seq2_T1_second,T2->T1->T3,7,1.09241451717178
D04_DIAGNOSTIC_ATTRIBUTION_INTERVENTIONAL,seq2_T1_second,T2->T1->T3,8,1.0954083753540231
D04_DIAGNOSTIC_ATTRIBUTION_INTERVENTIONAL,seq2_T1_second,T2->T1->T3,9,1.095532921066222
D04_DIAGNOSTIC_ATTRIBUTION_INTERVENTIONAL,seq3_T1_last,T3->T2->T1,0,1.095086193507883
D04_DIAGNOSTIC_ATTRIBUTION_INTERVENTIONAL,seq3_T1_last,T3->T2->T1,1,1.0964147696423148
D04_DIAGNOSTIC_ATTRIBUTION_INTERVENTIONAL,seq3_T1_last,T3->T2->T1,2,1.0977085934181479
D04_DIAGNOSTIC_ATTRIBUTION_INTERVENTIONAL,seq3_T1_last,T3->T2->T1,3,1.0952997119220629
D04_DIAGNOSTIC_ATTRIBUTION_INTERVENTIONAL,seq3_T1_last,T3->T2->T1,4,1.0946849868684596
D04_DIAGNOSTIC_ATTRIBUTION_INTERVENTIONAL,seq3_T1_last,T3->T2->T1,5,1.0982446597293842
D04_DIAGNOSTIC_ATTRIBUTION_INTERVENTIONAL,seq3_T1_last,T3->T2->T1,6,1.0976023185664736
D04_DIAGNOSTIC_ATTRIBUTION_INTERVENTIONAL,seq3_T1_last,T3->T2->T1,7,1.0979588953087411
D04_DIAGNOSTIC_ATTRIBUTION_INTERVENTIONAL,seq3_T1_last,T3->T2->T1,8,1.0974979462774883
D04_DIAGNOSTIC_ATTRIBUTION_INTERVENTIONAL,seq3_T1_last,T3->T2->T1,9,1.0915088102709989
