experiment_id,sequence_id,sequence,seed,final_t1_competence
D07_CROSS_ALGORITHM,seq1_T1_first,T1->T2->T3,0,1.0134308648462467
D07_CROSS_ALGORITHM,seq1_T1_first,T1->T2->T3,1,1.0783192978180245
D07_CROSS_ALGORITHM,seq1_T1_first,T1->T2->T3,2,1.0911838943377277
D07_CROSS_ALGORITHM,seq1_T1_first,T1->T2->T3,3,1.0588336171653985
D07_CROSS_ALGORITHM,seq1_T1_first,T1->T2->T3,4,1.0746625315704625
D07_CROSS_ALGORITHM,seq2_T1_second,T2->T1->T3,0,1.0369460419677219
D07_CROSS_ALGORITHM,seq2_T1_second,T2->T1->T3,1,1.0345079408927116
D07_CROSS_ALGORITHM,seq2_T1_second,T2->T1->T3,2,1.0326762100347386
D07_CROSS_ALGORITHM,seq2_T1_second,T2->T1->T3,3,1.0328879285072494
D07_CROSS_ALGORITHM,seq2_T1_second,T2->T1->T3,4,1.0323349523217602
D07_CROSS_ALGORITHM,seq3_T1_last,T3->T2->T1,0,0.9748013848648517
D07_CROSS_ALGORITHM,seq3_T1_last,T3->T2->T1,1,1.0352735982913541
D07_CROSS_ALGORITHM,seq3_T1_last,T3->T2->T1,2,1.0347575981224684
D07_CROSS_ALGORITHM,seq3_T1_last,T3->T2->T1,3,1.0478990223029758
D07_CROSS_ALGORITHM,seq3_T1_last,T3->T2->T1,4,1.0322148318218323
