experiment_id,case_type,description,value,expected,actual,match
E02_IDENTIFICATION,hand_constructed,"in-support, all criteria satisfied",0.0,VALID,VALID,True
E02_IDENTIFICATION,hand_constructed,not a designated causal parent,0.5,INVALID,INVALID,True
E02_IDENTIFICATION,hand_constructed,outside pre-registered support,7.0,UNIDENTIFIABLE,UNIDENTIFIABLE,True
E02_IDENTIFICATION,hand_constructed,not task-preserving,1.0,TASK_ALTERING,TASK_ALTERING,True
E02_IDENTIFICATION,hand_constructed,not safety-valid,1.0,INVALID,INVALID,True
E02_IDENTIFICATION,hand_constructed,near support edge -> borderline,2.0,BORDERLINE,BORDERLINE,True
E02_IDENTIFICATION,randomized,rand_0,5.949625186385601,,UNIDENTIFIABLE,UNIDENTIFIABLE
E02_IDENTIFICATION,randomized,rand_1,3.593141261417962,,UNIDENTIFIABLE,UNIDENTIFIABLE
E02_IDENTIFICATION,randomized,rand_2,0.0,,INVALID,UNIDENTIFIABLE
E02_IDENTIFICATION,randomized,rand_3,4.778728011738535,,UNIDENTIFIABLE,UNIDENTIFIABLE
E02_IDENTIFICATION,randomized,rand_4,-3.259793162931151,,UNIDENTIFIABLE,UNIDENTIFIABLE
E02_IDENTIFICATION,randomized,rand_5,-1.0,,TASK_ALTERING,UNIDENTIFIABLE
E02_IDENTIFICATION,randomized,rand_6,1.0,,TASK_ALTERING,UNIDENTIFIABLE
E02_IDENTIFICATION,randomized,rand_7,1.0,,BORDERLINE,VIOLATED
E02_IDENTIFICATION,randomized,rand_8,-2.6415274759749554,,UNIDENTIFIABLE,UNIDENTIFIABLE
E02_IDENTIFICATION,randomized,rand_9,0.06557802806726354,,UNIDENTIFIABLE,UNIDENTIFIABLE
E02_IDENTIFICATION,randomized,rand_10,1.6050374688688311,,UNIDENTIFIABLE,UNIDENTIFIABLE
E02_IDENTIFICATION,randomized,rand_11,2.0,,TASK_ALTERING,UNIDENTIFIABLE
E02_IDENTIFICATION,randomized,rand_12,1.0,,INVALID,UNIDENTIFIABLE
E02_IDENTIFICATION,randomized,rand_13,-2.2483551653008162,,UNIDENTIFIABLE,UNIDENTIFIABLE
E02_IDENTIFICATION,randomized,rand_14,-4.949721968429065,,UNIDENTIFIABLE,UNIDENTIFIABLE
E02_IDENTIFICATION,randomized,rand_15,4.0014810648907755,,UNIDENTIFIABLE,UNIDENTIFIABLE
E02_IDENTIFICATION,randomized,rand_16,-3.863756298548053,,UNIDENTIFIABLE,UNIDENTIFIABLE
E02_IDENTIFICATION,randomized,rand_17,5.844003951285956,,UNIDENTIFIABLE,UNIDENTIFIABLE
E02_IDENTIFICATION,randomized,rand_18,-2.701876923064431,,UNIDENTIFIABLE,UNIDENTIFIABLE
E02_IDENTIFICATION,randomized,rand_19,-4.549912200948349,,UNIDENTIFIABLE,UNIDENTIFIABLE
E02_IDENTIFICATION,randomized,rand_20,4.141767880416554,,UNIDENTIFIABLE,UNIDENTIFIABLE
E02_IDENTIFICATION,randomized,rand_21,5.152666526466948,,INVALID,UNIDENTIFIABLE
E02_IDENTIFICATION,randomized,rand_22,-2.0,,BORDERLINE,CERTIFIED
E02_IDENTIFICATION,randomized,rand_23,-1.0,,VALID,CERTIFIED
E02_IDENTIFICATION,randomized,rand_24,-1.0,,INVALID,UNIDENTIFIABLE
E02_IDENTIFICATION,randomized,rand_25,-2.0,,BORDERLINE,CERTIFIED
E02_IDENTIFICATION,randomized,rand_26,0.0,,VALID,CERTIFIED
E02_IDENTIFICATION,randomized,rand_27,1.0,,TASK_ALTERING,UNIDENTIFIABLE
E02_IDENTIFICATION,randomized,rand_28,1.0,,TASK_ALTERING,UNIDENTIFIABLE
E02_IDENTIFICATION,randomized,rand_29,2.0,,TASK_ALTERING,UNIDENTIFIABLE
E02_IDENTIFICATION,randomized,rand_30,-1.6391366108877818,,UNIDENTIFIABLE,UNIDENTIFIABLE
E02_IDENTIFICATION,randomized,rand_31,2.312805801754447,,UNIDENTIFIABLE,UNIDENTIFIABLE
E02_IDENTIFICATION,randomized,rand_32,-3.920415236950051,,UNIDENTIFIABLE,UNIDENTIFIABLE
E02_IDENTIFICATION,randomized,rand_33,-1.0,,BORDERLINE,VIOLATED
E02_IDENTIFICATION,randomized,rand_34,0.0,,TASK_ALTERING,UNIDENTIFIABLE
E02_IDENTIFICATION,randomized,rand_35,1.0,,INVALID,UNIDENTIFIABLE
E02_IDENTIFICATION,randomized,rand_36,0.5480343442991913,,UNIDENTIFIABLE,UNIDENTIFIABLE
E02_IDENTIFICATION,randomized,rand_37,-2.2640223300461093,,UNIDENTIFIABLE,UNIDENTIFIABLE
E02_IDENTIFICATION,randomized,rand_38,-1.0,,VALID,CERTIFIED
E02_IDENTIFICATION,randomized,rand_39,-1.0,,TASK_ALTERING,UNIDENTIFIABLE
E02_IDENTIFICATION,randomized,rand_40,0.7875290972242031,,UNIDENTIFIABLE,UNIDENTIFIABLE
E02_IDENTIFICATION,randomized,rand_41,-2.0,,TASK_ALTERING,UNIDENTIFIABLE
E02_IDENTIFICATION,randomized,rand_42,0.0,,VALID,CERTIFIED
E02_IDENTIFICATION,randomized,rand_43,1.0,,VALID,VIOLATED
E02_IDENTIFICATION,randomized,rand_44,5.127349684343031,,UNIDENTIFIABLE,UNIDENTIFIABLE
E02_IDENTIFICATION,randomized,rand_45,5.334691433740282,,UNIDENTIFIABLE,UNIDENTIFIABLE
E02_IDENTIFICATION,randomized,rand_46,-1.0,,TASK_ALTERING,UNIDENTIFIABLE
