experiment_id,baseline,sequence,seed,q_after_t1,q_final_on_t1,bwt
E09_CL_BASELINES,naive,A,0,1.098135819247901,1.0981480345957255,1.2215347824584555e-05
E09_CL_BASELINES,naive,A,1,1.0977183077513761,1.0976391892990764,-7.911845229968684e-05
E09_CL_BASELINES,naive,A,2,1.0981100544568638,1.0980616745049385,-4.8379951925303644e-05
E09_CL_BASELINES,naive,A,3,1.0975530787475345,1.0974820091143758,-7.106963315872683e-05
E09_CL_BASELINES,naive,A,4,1.0977918223724796,1.0974673276344848,-0.0003244947379947849
E09_CL_BASELINES,naive,A,5,1.0961751852859412,1.0961799276599689,4.742374027699725e-06
E09_CL_BASELINES,naive,A,6,1.0974565175403865,1.097169213251104,-0.0002873042892825861
E09_CL_BASELINES,naive,A,7,1.0962996487194532,1.0976718953173603,0.001372246597907134
E09_CL_BASELINES,naive,A,8,1.097697518998587,1.0972725469824063,-0.00042497201618063585
E09_CL_BASELINES,naive,A,9,1.0973331182456754,1.097264075598616,-6.904264705931418e-05
