baseline,seed,bwt_sequence_A,bwt_sequence_B
naive,0,1.2215347824584555e-05,-3.819830049867079e-05
naive,1,-7.911845229968684e-05,2.9726223080395187e-05
naive,2,-4.8379951925303644e-05,9.811994404929081e-05
naive,3,-7.106963315872683e-05,2.607712011881702e-06
naive,4,-0.0003244947379947849,0.08379166628399193
naive,5,4.742374027699725e-06,6.960176031634013e-05
naive,6,-0.0002873042892825861,-0.08452907532712484
naive,7,0.001372246597907134,-5.176868033474058e-05
naive,8,-0.00042497201618063585,0.00010810055583987399
naive,9,-6.904264705931418e-05,0.0029208453740248164
ewc,0,-0.00031855497198129967,0.0001299863839128168
ewc,1,0.00019962140741336398,0.00015331843783505938
ewc,2,-0.0002795904455901166,-0.00029958519623662916
ewc,3,-0.08228646224661862,-0.00034846330630111666
ewc,4,-0.0004023051124049104,0.0007060242330692024
ewc,5,-2.424745180618082e-05,0.00011643475413847248
ewc,6,-0.08269520011931952,0.00017331944826559642
ewc,7,4.423397349895275e-05,0.0015722100881527812
ewc,8,0.00011270968915710888,-6.506103632730742e-05
ewc,9,-0.00011211431442559316,-0.00026493097636626217
